Draw,Date,Result,Super Ball
revancha,2023-02-18,05-07-10-13-31,14
baloto,2023-02-15,07-15-22-25-35,09
revancha,2023-02-15,01-19-35-36-39,08
baloto,2023-02-11,08-11-17-29-42,13
revancha,2023-02-11,07-20-25-26-30,11
baloto,2023-02-08,03-08-12-13-43,07
revancha,2023-02-08,09-21-23-28-38,12
baloto,2023-02-04,01-10-14-32-39,10
revancha,2023-02-04,05-06-18-26-42,09
baloto,2023-02-01,08-12-16-26-39,06
revancha,2023-02-01,08-12-23-37-38,16
baloto,2023-01-28,02-14-15-28-40,05
revancha,2023-01-28,08-18-27-40-42,08
baloto,2023-01-25,05-07-10-22-31,12
revancha,2023-01-25,17-20-26-33-38,01
baloto,2023-01-21,02-07-12-21-37,09
revancha,2023-01-21,06-11-13-16-42,12
baloto,2023-01-18,10-29-30-32-36,04
revancha,2023-01-18,08-09-33-35-42,13
baloto,2023-01-14,02-23-25-33-34,10
revancha,2023-01-14,04-08-21-36-43,08
baloto,2023-01-11,02-17-24-37-42,11
revancha,2023-01-11,17-21-22-27-29,09
baloto,2023-01-07,17-25-32-33-40,03
revancha,2023-01-07,11-17-33-34-40,09
baloto,2023-01-04,12-32-36-37-42,11
revancha,2023-01-04,01-12-14-32-33,08
baloto,2022-12-31,03-11-27-31-32,12
revancha,2022-12-31,14-25-32-33-39,12
baloto,2022-12-28,02-08-17-20-25,07
revancha,2022-12-28,01-04-09-23-24,13
baloto,2022-12-24,07-09-23-37-40,14
revancha,2022-12-24,16-26-27-36-42,11
baloto,2022-12-21,24-27-30-31-39,12
revancha,2022-12-21,31-33-37-40-41,16
baloto,2022-12-17,01-10-12-39-40,14
revancha,2022-12-17,21-26-34-37-42,16
baloto,2022-12-14,02-15-23-33-43,04
revancha,2022-12-14,14-18-24-36-42,02
baloto,2022-12-10,06-09-28-35-41,07
revancha,2022-12-10,04-07-21-22-36,10
baloto,2022-12-07,11-14-28-29-32,03
revancha,2022-12-07,05-17-21-24-28,10
baloto,2022-12-03,14-19-21-32-33,01
revancha,2022-12-03,05-11-12-13-34,03
baloto,2022-11-30,14-16-33-38-41,10
revancha,2022-11-30,06-12-15-16-35,03
baloto,2022-11-26,04-09-30-31-34,16
revancha,2022-11-26,08-20-21-29-38,11
baloto,2022-11-23,05-09-13-22-43,12
revancha,2022-11-23,06-11-18-28-43,04
baloto,2022-11-19,23-26-27-33-37,03
revancha,2022-11-19,04-24-25-26-43,03
baloto,2022-11-16,07-09-17-38-39,09
revancha,2022-11-16,05-09-16-25-26,10
baloto,2022-11-12,10-11-25-27-33,16
revancha,2022-11-12,06-21-26-39-41,15
baloto,2022-11-09,05-14-17-31-34,03
revancha,2022-11-09,02-07-12-26-43,04
baloto,2022-11-05,04-19-22-36-43,10
revancha,2022-11-05,01-08-17-20-30,09
baloto,2022-11-02,20-28-30-31-36,08
revancha,2022-11-02,05-15-19-33-43,08
baloto,2022-10-29,02-10-13-32-42,01
revancha,2022-10-29,05-09-11-20-30,04
baloto,2022-10-26,09-12-16-17-21,14
revancha,2022-10-26,18-32-33-40-41,10
baloto,2022-10-22,02-04-06-09-25,13
revancha,2022-10-22,02-05-14-30-36,12
baloto,2022-10-19,05-08-20-24-37,04
revancha,2022-10-19,01-07-20-36-39,14
baloto,2022-10-15,09-21-24-39-40,12
revancha,2022-10-15,03-14-35-36-37,08
baloto,2022-10-12,12-21-25-37-41,03
revancha,2022-10-12,12-24-33-34-36,03
baloto,2022-10-08,01-03-15-19-29,13
revancha,2022-10-08,10-17-31-36-41,14
baloto,2022-10-05,01-03-08-31-35,16
revancha,2022-10-05,05-16-23-34-43,16
baloto,2022-10-01,03-05-28-37-42,15
revancha,2022-10-01,03-05-15-22-42,02
baloto,2022-09-28,02-04-12-21-33,02
revancha,2022-09-28,06-17-36-37-38,11
baloto,2022-09-24,05-08-19-30-33,01
revancha,2022-09-24,11-16-32-34-37,05
baloto,2022-09-21,02-04-20-21-35,03
revancha,2022-09-21,03-06-07-26-42,11
baloto,2022-09-17,03-25-30-33-34,01
revancha,2022-09-17,09-10-18-29-32,04
baloto,2022-09-14,07-13-19-32-42,07
revancha,2022-09-14,06-08-20-34-41,08
baloto,2022-09-10,03-09-10-19-35,08
revancha,2022-09-10,12-18-32-34-43,04
baloto,2022-09-07,14-15-17-23-39,06
revancha,2022-09-07,01-12-15-22-33,16
baloto,2022-09-03,02-05-23-27-36,12
revancha,2022-09-03,04-09-26-33-41,03
baloto,2022-08-31,15-16-26-34-39,06
revancha,2022-08-31,04-12-17-19-42,14
baloto,2022-08-27,01-13-16-22-25,08
revancha,2022-08-27,01-26-27-35-43,11
